frame,TP,FP,FN,precision,recall,mota
382,2,0,0,1.0,1.0,1.0
383,2,0,0,1.0,1.0,1.0
384,2,0,0,1.0,1.0,1.0
385,2,0,0,1.0,1.0,1.0
386,3,0,0,1.0,1.0,1.0
387,3,0,1,1.0,0.75,0.75
388,3,0,1,1.0,0.75,0.75
389,3,0,1,1.0,0.75,0.75
390,3,0,1,1.0,0.75,0.75
391,3,0,1,1.0,0.75,0.75
392,3,0,1,1.0,0.75,0.75
393,3,0,1,1.0,0.75,0.75
394,3,0,1,1.0,0.75,0.75
395,3,0,1,1.0,0.75,0.75
396,3,0,1,1.0,0.75,0.75
397,3,0,0,1.0,1.0,1.0
398,3,0,0,1.0,1.0,1.0
399,3,0,0,1.0,1.0,1.0
400,3,0,0,1.0,1.0,1.0
401,2,0,1,1.0,0.6666666666666666,0.6666666666666667
402,2,0,1,1.0,0.6666666666666666,0.6666666666666667
403,2,0,1,1.0,0.6666666666666666,0.6666666666666667
404,2,0,1,1.0,0.6666666666666666,0.6666666666666667
405,2,0,1,1.0,0.6666666666666666,0.6666666666666667
406,2,0,1,1.0,0.6666666666666666,0.6666666666666667
407,2,0,1,1.0,0.6666666666666666,0.6666666666666667
408,2,0,1,1.0,0.6666666666666666,0.6666666666666667
409,2,0,1,1.0,0.6666666666666666,0.6666666666666667
410,2,0,1,1.0,0.6666666666666666,0.6666666666666667
411,2,0,1,1.0,0.6666666666666666,0.6666666666666667
412,2,0,1,1.0,0.6666666666666666,0.6666666666666667
413,2,0,1,1.0,0.6666666666666666,0.6666666666666667
414,2,0,1,1.0,0.6666666666666666,0.6666666666666667
415,2,0,1,1.0,0.6666666666666666,0.6666666666666667
416,2,0,1,1.0,0.6666666666666666,0.6666666666666667
417,2,0,1,1.0,0.6666666666666666,0.6666666666666667
418,2,0,1,1.0,0.6666666666666666,0.6666666666666667
419,2,0,1,1.0,0.6666666666666666,0.6666666666666667
420,2,0,1,1.0,0.6666666666666666,0.6666666666666667
421,2,0,1,1.0,0.6666666666666666,0.6666666666666667
422,2,0,1,1.0,0.6666666666666666,0.6666666666666667
423,2,0,1,1.0,0.6666666666666666,0.6666666666666667
424,2,0,1,1.0,0.6666666666666666,0.6666666666666667
425,2,0,1,1.0,0.6666666666666666,0.6666666666666667
426,2,0,1,1.0,0.6666666666666666,0.6666666666666667
427,2,0,1,1.0,0.6666666666666666,0.6666666666666667
428,2,0,1,1.0,0.6666666666666666,0.6666666666666667
429,2,0,1,1.0,0.6666666666666666,0.6666666666666667
430,2,0,1,1.0,0.6666666666666666,0.6666666666666667
431,2,0,1,1.0,0.6666666666666666,0.6666666666666667
432,2,0,1,1.0,0.6666666666666666,0.6666666666666667
433,2,0,1,1.0,0.6666666666666666,0.6666666666666667
434,2,0,1,1.0,0.6666666666666666,0.6666666666666667
435,2,0,1,1.0,0.6666666666666666,0.6666666666666667
436,2,0,1,1.0,0.6666666666666666,0.6666666666666667
437,2,0,1,1.0,0.6666666666666666,0.6666666666666667
438,2,0,1,1.0,0.6666666666666666,0.6666666666666667
439,2,0,1,1.0,0.6666666666666666,0.6666666666666667
440,2,0,1,1.0,0.6666666666666666,0.6666666666666667
441,2,0,1,1.0,0.6666666666666666,0.6666666666666667
442,2,0,1,1.0,0.6666666666666666,0.6666666666666667
443,2,0,1,1.0,0.6666666666666666,0.6666666666666667
444,2,0,1,1.0,0.6666666666666666,0.6666666666666667
445,2,0,1,1.0,0.6666666666666666,0.6666666666666667
446,2,0,1,1.0,0.6666666666666666,0.6666666666666667
447,2,0,1,1.0,0.6666666666666666,0.6666666666666667
448,2,0,1,1.0,0.6666666666666666,0.6666666666666667
449,2,0,1,1.0,0.6666666666666666,0.6666666666666667
450,2,0,1,1.0,0.6666666666666666,0.6666666666666667
451,2,0,1,1.0,0.6666666666666666,0.6666666666666667
452,2,0,1,1.0,0.6666666666666666,0.6666666666666667
453,2,0,1,1.0,0.6666666666666666,0.6666666666666667
454,2,0,1,1.0,0.6666666666666666,0.6666666666666667
455,2,0,1,1.0,0.6666666666666666,0.6666666666666667
456,2,0,1,1.0,0.6666666666666666,0.6666666666666667
457,2,0,1,1.0,0.6666666666666666,0.6666666666666667
458,2,0,1,1.0,0.6666666666666666,0.6666666666666667
459,2,0,1,1.0,0.6666666666666666,0.6666666666666667
460,2,0,1,1.0,0.6666666666666666,0.6666666666666667
461,2,0,1,1.0,0.6666666666666666,0.6666666666666667
462,2,0,1,1.0,0.6666666666666666,0.6666666666666667
463,2,0,1,1.0,0.6666666666666666,0.6666666666666667
464,2,0,1,1.0,0.6666666666666666,0.6666666666666667
465,2,0,1,1.0,0.6666666666666666,0.6666666666666667
466,2,0,1,1.0,0.6666666666666666,0.6666666666666667
467,2,0,1,1.0,0.6666666666666666,0.6666666666666667
468,2,0,1,1.0,0.6666666666666666,0.6666666666666667
469,2,0,1,1.0,0.6666666666666666,0.6666666666666667
470,2,0,1,1.0,0.6666666666666666,0.6666666666666667
471,2,0,1,1.0,0.6666666666666666,0.6666666666666667
472,2,0,1,1.0,0.6666666666666666,0.6666666666666667
473,2,0,1,1.0,0.6666666666666666,0.6666666666666667
474,2,0,1,1.0,0.6666666666666666,0.6666666666666667
475,2,0,1,1.0,0.6666666666666666,0.6666666666666667
476,2,0,1,1.0,0.6666666666666666,0.6666666666666667
477,2,0,1,1.0,0.6666666666666666,0.6666666666666667
478,2,0,1,1.0,0.6666666666666666,0.6666666666666667
479,2,0,1,1.0,0.6666666666666666,0.6666666666666667
480,2,0,1,1.0,0.6666666666666666,0.6666666666666667
481,2,0,1,1.0,0.6666666666666666,0.6666666666666667
482,2,0,1,1.0,0.6666666666666666,0.6666666666666667
483,2,0,1,1.0,0.6666666666666666,0.6666666666666667
484,2,0,1,1.0,0.6666666666666666,0.6666666666666667
485,2,0,1,1.0,0.6666666666666666,0.6666666666666667
486,2,0,1,1.0,0.6666666666666666,0.6666666666666667
487,2,0,1,1.0,0.6666666666666666,0.6666666666666667
488,2,0,1,1.0,0.6666666666666666,0.6666666666666667
489,2,0,1,1.0,0.6666666666666666,0.6666666666666667
490,2,0,1,1.0,0.6666666666666666,0.6666666666666667
491,2,0,1,1.0,0.6666666666666666,0.6666666666666667
